Name,Service / Project,Service in folder,Website,Email,Main Tag,Second Tag,Third Tag ,Timings ,Who's it for?,Location,Notes,,,,,,,,,,,,,,,,,,,
CAMHS ,Advise consultation for young people and families with mental health difficulties ,,CAMHS TH | East London NHS Foundation Trust,,Mental Health,Youth,Childcare,,"Children Young people families with mental health difficulties, ED ","18 Greatorex Street, E1 5NF + Emmanuel Miller Centre, E14 8HQ",,,,,,,,,,,,,,,,,,,,
Canaan Project ,Youth Project ,,canaanproject.co.uk/,,Youth,Women,Social,,11-19 year old women ,E14 6EQ ,,,,,,,,,,,,,,,,,,,,
Canal Club Community Garden,Free Tai Chi,,7773784517,,Exercise,Free,,Monday 12-1pm,All,E2 9HP,,,,,,,,,,,,,,,,,,,,
CAP Life Skills,"cooking on budget, share meal together",,Life skills | CAP UK,rosievirgo@gmail.com,Finances,Meal,Free,,,,,,,,,,,,,,,,,,,,,,,
Carents,Support for people caring for parents ,,carents.co.uk/,,Carer,Advice,Online,,Carers of parents ,Online ,,,,,,,,,,,,,,,,,,,,
Carers Centre,Support for carers,,ccth.org.uk/,,Carer,Youth,Advice,,16+ carers who look after someone in TH,E1 0SG,,,,,,,,,,,,,,,,,,,,
Cash First referral ,Financial advice ,,www.foodaidnetwork.org.uk/cash-first-leaflets,,Finances,Legal Advice,Debt,,All,Online ,,,,,,,,,,,,,,,,,,,,
Catch 22 ,General support for those affected by crime ,,www.catch-22.org.uk/find-services/lge/ ,,Youth,Victim,Perpetrator,,15-25 year old victims and/or offenders of sexual/criminal violence ,EC1V 3AG  (head office),,,,,,,,,,,,,,,,,,,,
Centre for better health ,Low cost counselling ,,www.centreforbetterhealth.org.uk/counselling/,,Counselling,Low Cost,Mental Health,,18+ yrs ,E9 6QH,,,,,,,,,,,,,,,,,,,,
Centre for Freudian Analysis ,Low cost therapy,,cfar.org.uk/clinical-service/,,Mental Health,Low Cost,Counselling,,All,-,,,,,,,,,,,,,,,,,,,,
Chance UK,"Mentoring, workshops and programmes for children with trauma ",,www.chanceuk.com/make-a-referral/,,Mentoring,Child,Family,,Children with trauma and their family,London,,,,,,,,,,,,,,,,,,,,
Chatty cafe,For english conversations,,salvationarmy.org.uk/stepney,stepney@salvationarmy.org.uk,Group,,,1-2.15pm. every 2nd and 4th sunday  in the month,,,,,,,,,,,,,,,,,,,,,,
Check in and Chat,Phone calls with volunteer ,,,angela.sims@royalvoluntaryservice.org.uk,Loneliness,Social Isolation,Volunteering,,All,Online,,,,,,,,,,,,,,,,,,,,
Child Bereavement UK,bereavement support for children and parents ,,www.childbereavementuk.org/,,Bereavement,Counselling,Family,,All ,Online/Stratford ,,,,,,,,,,,,,,,,,,,,
Children and Family Centers ,Creative Play,,www.towerhamlets.gov.uk/Documents/Children-and-families-services/Early_help/Activity-Timetables/A3-Timetable-NORTHEAST.pdf,,Child,Childcare,Parenting,,All children,Olga CFC,,,,,,,,,,,,,,,,,,,,
Children with Disabilities Team CWD  (LA),Children with Disabilities Team (LA),,Young People's Zone / Providers / Children With Disabilities (CWD) Team,,Disability,Parenting,Child,,Families of/ and children with disabilities ,E1 1BJ,,,,,,,,,,,,,,,,,,,,
CIFA Domestic Abuse ,1:1 interventions for victims perpetrators and adult children of DV,,,CIFA@risemutual.org,DV,Perpetrator,Perpetrator,,Perpetrators of DV,TH and surrounding boroughs ,,,,,,,,,,,,,,,,,,,,
Citizen Card,Cheap ID card for use in UK,,National ID card for the UK,,Low Cost,Legal Advice,Benefits,,,,,,,,,,,,,,,,,,,,,,,
City and East London Bereavement Centre ,Bereavement advice,,celbs.org.uk/,,Bereavement,Counselling,Mental Health,,18+,E2 9PL,,,,,,,,,,,,,,,,,,,,
City Gateway,Employment Training ,,www.citygateway.org.uk/apprenticeships-and-training-aged-16-18/,,Employment,Youth,Education,,16-18(25) or 19+,Online application,,,,,,,,,,,,,,,,,,,,
Club Hackney,"Multisports, term time, for SEND /Disability",,https://disabilitysportscoach.org.uk/get-active/community-clubs/club-hackney/,,Exercise,SEND,Disability,,8+,E8 3XW,,,,,,,,,,,,,,,,,,,,
CM - Community Music,Music course/session in a studio - Free,,https://www.cmsounds.com/ ,hello@cmsounds.com,Lifecoaching,Free,Training,,All,,,,,,,,,,,,,,,,,,,,,
Coaching for Unpaid Carers,Sessions to coach and support unpaid carers ,,https://www.coachingforunpaidcarers.org.uk/our-approach,hello@coachingforunpaidcarers.org.uk,Carer,Training,Free,,All,,,,,,,,,,,,,,,,,,,,,
Coaching for Unpaid Carers (online),Coaching/advice for carers ,,www.coachingforunpaidcarers.org.uk/,,Carer,Advice,Online,,Unpaid carers ,Online ,,,,,,,,,,,,,,,,,,,,
Collingwood Community Centre ,Yoga Class ,,,t.begum@souluk.co.uk,Free,Exercise,Women,Friday 10-11,Women,"Collingwood community Centre, Barnsley street, E1 5rb",,,,,,,,,,,,,,,,,,,,
Collingwood Community Centre ,Zumba Class,,,t.begum@souluk.co.uk,Free,Exercise,Women,Tuesday 10-11 am,Women,"Collingwood community Centre, Barnsley street, E1 5rb",,,,,,,,,,,,,,,,,,,,
Committee Laundry at John Smith Family Hub,"Free washing, drying and ironing services ",,Providers / John Smith Children And Family Centre,,Cost of Living,Free,Practical Help,,Families affected by cost of living crisis,E1 2EN,,,,,,,,,,,,,,,,,,,,
Common Press Book club ,Monthly Book club ,,www.outsavvy.com/event/12001/the-common-press-book-club#anchor,,Fine Arts,Social,,7pm to 8pm ,All,Common Press Bethnal Green ,,,,,,,,,,,,,,,,,,,,
Community Counselling ,Low cost counselling ,,http://www.communitycounselling.org.uk/,,Counselling,Mental Health,Low Cost,,All,London E6 3BA,,,,,,,,,,,,,,,,,,,,
Community Counselling ,Low cost counselling ,,http://www.communitycounselling.org.uk/,,Counselling,Low Cost,Mental Health,,All,E6 3BA,,,,,,,,,,,,,,,,,,,,
Community Music,Low cost music courses,,www.cmsounds.com/,,Fine Arts,Courses,Low Cost,,All,E1 5HU,,,,,,,,,,,,,,,,,,,,
Community Music ,Free Music Courses ,,www.cmsounds.com/,,Fine Arts,Courses,Free,,Beginners or professionals trying to advance their music journey ,E1 5HU,,,,,,,,,,,,,,,,,,,,
Community Psychotherapy Network,Counselling (group/individual) on fee sliding scale ,,www.communitypsychotherapy.org.uk/about,,Counselling,Low Cost,Mental Health,,All,E2 9PL,,,,,,,,,,,,,,,,,,,,
Compassionate Neighbours in East London,Community led suport for anyone nearng their end of life through age or illness,No,www.stjh.org.uk,CN@stjh.org.uk,Free,,,,Anyone nearing their end of life,"St Joseph's Hospice, Mare Street, Hackney, London, E8 4SA",,,,,,,,,,,,,,,,,,,,
Consortium50,Men's community group,,,consortium50@gmail.com,Men,Social,Social Isolation,,All isolated men,EC2A 1AS,,,,,,,,,,,,,,,,,,,,
Contact ,"Family, campaign support, training & consultancy ",,contact.org.uk/about-contact/what-we-do/,,Family,Disability,Mentoring,,Families of disabled children ,-,,,,,,,,,,,,,,,,,,,,
Cooking with English,"Learn english and plan, cook and eat together",No,,,Women,,,Mondays(1-4pm),Asylum seeking women,,,,,,,,,,,,,,,,,,,,,
Counselling ,Low cost therapy service (sliding scale),,www.metanoia.ac.uk/therapy/metanoia-counselling-and-psychotherapy-service/,,Counselling,Low Cost,Mental Health,,All,Ealing ,,,,,,,,,,,,,,,,,,,,
CPPD,Counselling (fee sliding scale) ,,cppdlondon.com/counselling,,Counselling,Mental Health,Low Cost,,All,N8 7PN,,,,,,,,,,,,,,,,,,,,
Create Drop in (for LD),Drop in (but have to be referred),,,createday.service@towerhamlets.gov.uk,Learning Disability/Difficulty,Advice,Drop-In,,People with LD,,,,,,,,,,,,,,,,,,,,,
Creative Mix,"Connecting with others through mix of art, chats and treats.",No,,info@magicme.co.uk,Adults,Group,,Wednesday(1.30 - 3.30 pm),Aged 50 +,"Pott Street, London E2 0EF",,,,,,,,,,,,,,,,,,,,
Crossroads Counselling,Counselling (low cost),,www.crossroadscounselling.org/,,Counselling,Low Cost,Mental Health,,All ,E2 0RY/online ,,,,,,,,,,,,,,,,,,,,
Cycle sisters ,Cycling for Muslim women,,www.cyclesisters.org.uk/contact,,Exercise,Muslim,Women,,All Muslim women ,Roman Road maybe?,,,,,,,,,,,,,,,,,,,,
Dad's Network,"Support group for dads, fathers",,Dads' network,,Men,Carer,Single Parent,,All male carers ,-,,,,,,,,,,,,,,,,,,,,
Dangoor Next Generation Programme ,Overseas expedition aiming to raise the aspirations,,Dangoor Next Generation Programme | Catch22 (catch-22.org.uk),,Youth,Abroad,Courses,,Disadvantaged 16-21 year olds,EC1V 3AG  (head office),,,,,,,,,,,,,,,,,,,,
Deaf Unity,"website for deaf people aid employment – job postings, events, and courses.",,Jobs - Deaf Unity,,Deaf/Hearing ,Employment,Education,,All,,,,,,,,,,,,,,,,,,,,,
Debt Free Advice ,Advice for debt,,debtfreeadvice.com/,,Finances,Advice,Debt,,All, E1 6LS (closest Centre) ,,,,,,,,,,,,,,,,,,,,
Digital Edge ,Training to gain entry level jobs from local employers in Microsoft's customers,,www.catch-22.org.uk/find-services/digital-edge/,,Training,adults,Digital Inclusion,,"Adults with social challenges (disability, school exclusion",EC1V 3AG  (head office),,,,,,,,,,,,,,,,,,,,
Disability Sports Coach,Exercise for SEND children,Yes,www.disabilitysportscoach.co.uk,clubs@disabilitysportscoach.co.uk,Exercise,SEND,Child,Wednesdays(school term time) 4.30pm - 6 pm,8-16 SEND children and families,"Mile End Leisure Centre, 190 Burdett Road, E3 4HL",,,,,,,,,,,,,,,,,,,,
DisabilityPlus,Specialist Mental Health Counselling for people with Disabilities / Injuries,,https://www.disabilityplus.co.uk/,,Disability,Mental Health,Counselling,,,,,,,,,,,,,,,,,,,,,,,
Discovery College of East London,Workshops for improving emotional wellbeing ,,,discovery-college@mindthnr.org.uk,Courses,Mental Health,Wellness,,13-18 yrs,East London,,,,,,,,,,,,,,,,,,,,
Docklands Outreach,Therapeutic and practical support ,,www.dockout.org.uk/,,Counselling,Youth,Multi-Purpose,,3-13 and 12-25,E14 0AE/online,,,,,,,,,,,,,,,,,,,,
Domestic abuse form filling clinic,legal advice and supports for victims of domestic violence,,www.lac.qmul.ac.uk,lac@qmul.ac.uk,DV Domestic Violence,,,,,,,,,,,,,,,,,,,,,,,,,
Door of Hope,Support for prostitutes ,,http://www.doorofhope.org.uk/,,Sexual Health,Counselling,Women,,Women ,-,,,,,,,,,,,,,,,,,,,,
Downsizing,support families living in overcrowded conditions,No,,lettings@towerhamlets.gov.uk,Family,,,,,"Lettings Service, Albert Jacob House, 62 Roman Road, London E2 0PG",,,,,,,,,,,,,,,,,,,,
Dr Bs exercise club,Free group exercise ,,www.eventbrite.com/e/dr-bs-exercise-club-tickets-770739441417,,Exercise,Group,Social,,18-65 yrs ,E2 0PE,,,,,,,,,,,,,,,,,,,,
Drive Forward,Employment support,,driveforwardfoundation.org/ ,,Employment,Youth,Care leaver,,16-24 year olds from foster care ,SE1 7RJ,,,,,,,,,,,,,,,,,,,,
Ealing Abbey Counselling Service ,General counselling/couples/psychosexual therapy (sliding scale) ,,www.eacs.org.uk/services,,Counselling,couple/marriage,Low Cost,,All,W5 2XP,,,,,,,,,,,,,,,,,,,,
Early Help Hub ,Help for families in difficult situations ,,www.towerhamlets.gov.uk/lgnl/health__social_care/children_and_family_care/Early_Help/Early_Help_Hub.aspx,,Family,Practical Help,Cost of Living,,Families,- ,,,,,,,,,,,,,,,,,,,,
East End Energy,Advice for utility bills ,,www.bbbc.org.uk/services/energy/,eastendenergyfit@bbbc.org.uk,Benefits Advice,Utility bills,Cost of Living,,"All from TH, Hackney, Newham and neighboring boroughs",E3 3BT,,,,,,,,,,,,,,,,,,,,
East Hands UK,Wellbeing and humanitarian advice ,,www.easthands.org/what-we-are-working/,,Advice,Multi-Purpose,Wellness,,All,E1 5LQ,,,,,,,,,,,,,,,,,,,,
East India over 50s Consortium ,Burcham Street Gardeners ,,BSG Flyer Nov 23.png,consortium50@gmail.com,Social Isolation,Social,Group,Saturday(9.30-12pm),All,"Burcham Street Centre, E14 0SH",,,,,,,,,,,,,,,,,,,,
East India over 50s Consortium ,Link in Men's Meetup ,,,,Men,Social Isolation,Wellness,Saturday 12:30-3:30 ,"for Men feeling socially isolated, improve metal wellbeing  ",E14 0QU,,,,,,,,,,,,,,,,,,,,
East LDN Swap Shop,Clothes swapping,,(only Instagram),,Practical Help,Cost of Living,Free,,All,E3 5LX,,,,,,,,,,,,,,,,,,,,
East London Community Band,Community Band,,www.eastlondoncommunityband.co.uk/,,Fine Arts,Group,Social,,All,E1 4NE,,,,,,,,,,,,,,,,,,,,
Eastablish,Cooking with English for female Asylum Seekers. Ran with East London Mosque,,Eastablish | community • education • health,,Asylum,Women,Cooking,,Asyum seeking women (maybe refugees too),,,,,,,,,,,,,,,,,,,,,
Eastside Educational Trust and Space Hire,Arts and creative organsiation ,,www.eastside.org.uk/,,Youth,Fine Arts,Social,,undeserved youth',Activity dependent,,,,,,,,,,,,,,,,,,,,
ELOP,"Befriending service for LGBT Adults , 6 week programme ",,www.consortium.lgbt/member-directory/elop/,,LGBTQ+,Befriending,Training,,"LGBT adults looking to imporve social skills, make connections ",-,,,,,,,,,,,,,,,,,,,,
ELOP,Health and wellbeing for LGBTQ+,,http://www.elop.org/,events@elop.org,LGBTQ+,Sexual Health,Mental Health,,All,E17 9BN,,,,,,,,,,,,,,,,,,,,
ELOP,LGBT+ Over 50 social ,,http://www.elop.org/,events@elop.org,LGBTQ+,50+,Social,,50+ LGBTQ+,Email for info,,,,,,,,,,,,,,,,,,,,
ELOP ,LGBTQ+ forum/newsletter/community projects ,,http://www.elop.org/,lgbtforum@elop.org,Evening,,,,,,,,,,,,,,,,,,,,,,,,,
ELOP HeadsOut,LGBTQ mental health support,,,mentalhelath@elop.org,LGBTQ+,Mental Health,Counselling,,LGBTQ+ ,Email for info,,,,,,,,,,,,,,,,,,,,
Employment clinic,Offers advice on employment matters,,www.lac.qmul.ac.uk,lac@qmul.ac.uk,Employment,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Retention Service,Recovery and wellbeing service,No,ewhub@wwtrust.co.uk,,Adults,1to1,,,People having mental ill health,,,,,,,,,,,,,,,,,,,,,
Enabled living ,Coffee mornings (2nd Monday of every month) ,,,info@enabledlivinghealthcare.co.uk,Blind,Social,Group,,Blind/deaf/deafblind ,E13 8DW,,,,,,,,,,,,,,,,,,,,
